t,f
0,0.3989422804014327
0.1,0.3969525474770118
0.2,0.3910426939754559
0.30000000000000004,0.3813878154605241
0.4,0.36827014030332333
0.5,0.3520653267642995
0.6,0.33322460289179967
0.7,0.31225393336676127
0.7999999999999999,0.2896915527614828
0.8999999999999999,0.26608524989875487
0.9999999999999999,0.24197072451914342
1.0999999999999999,0.21785217703255058
1.2,0.19418605498321298
1.3,0.17136859204780736
1.4000000000000001,0.14972746563574485
1.5000000000000002,0.12951759566589172
1.6000000000000003,0.11092083467945553
1.7000000000000004,0.09404907737688686
1.8000000000000005,0.0789501583008941
1.9000000000000006,0.06561581477467654
