t,l
0,1.999999999999999
0.1,-0.8620342986460232
0.2,0.20881076842186336
0.30000000000000004,0.8130992482591203
0.4,0.40782017745803256
0.5,-0.3749151069066735
0.6,-0.8950468345364382
0.7,-0.8692437115095287
0.7999999999999999,-0.3599118427059014
0.8999999999999999,0.3703396998602254
0.9999999999999999,1.0148022510536674
1.0999999999999999,1.3360281392669573
1.2,1.2230500184933875
1.3,0.6992795309884265
1.4000000000000001,-0.10394494807133547
1.5000000000000002,-0.9919729405455914
1.6000000000000003,-1.7557778260547847
1.7000000000000004,-2.215170956293454
1.8000000000000005,-2.250243219698447
1.9000000000000006,-1.8184926488638857
2.0000000000000004,-0.9578205491967124
2.1000000000000005,0.22255236393098965
2.2000000000000006,1.5601195607582445
2.3000000000000007,2.862520845880346
2.400000000000001,3.932901730361383
2.500000000000001,4.59415404996615
2.600000000000001,4.709624253103584
2.700000000000001,4.198600802628847
2.800000000000001,3.045621503245226
2.9000000000000012,1.3033121493172772
3.0000000000000013,-0.9109611023651754
3.1000000000000014,-3.4238938900046407
3.2000000000000015,-6.01944820704837
3.3000000000000016,-8.45521202656452
3.4000000000000017,-10.480585103327805
3.5000000000000018,-11.855477819314153
3.600000000000002,-12.368304108287472
3.700000000000002,-11.852202508515013
3.800000000000002,-10.198612338161096
3.900000000000002,-7.367547562701819
