t,l
0,1.9999999999999991
0.1,-0.8901531565518289
0.2,-0.02053609211056684
0.30000000000000004,0.7784224691944168
0.4,0.6801762487991626
0.5,0.00984141458440213
0.6,-0.6842935862304479
0.7,-1.0185738956816404
0.7999999999999999,-0.8686593491626077
0.8999999999999999,-0.32498203420470295
0.9999999999999999,0.4004500724709239
1.0999999999999999,1.0669739674614083
1.2,1.4753625523928928
1.3,1.5083745696727604
1.4000000000000001,1.1438098206034315
1.5000000000000002,0.4462603202968589
1.6000000000000003,-0.45497545291415675
1.7000000000000004,-1.3947337414240117
1.8000000000000005,-2.2017378565816954
1.9000000000000006,-2.724980713167218
2.0000000000000004,-2.8540230136099214
2.1000000000000005,-2.531879912243829
2.2000000000000006,-1.76029016361217
2.3000000000000007,-0.5979915116685164
2.400000000000001,0.8468227289595416
2.500000000000001,2.428384068637189
2.600000000000001,3.97797761587879
2.700000000000001,5.319777340986941
2.800000000000001,6.28650178836582
2.9000000000000012,6.733729809546727
3.0000000000000013,6.551978197210888
3.1000000000000014,5.675915685438571
3.2000000000000015,4.09035064491796
3.3000000000000016,1.8328687674111683
3.4000000000000017,-1.0067970404092605
3.5000000000000018,-4.290414412066853
3.600000000000002,-7.83753850254794
3.700000000000002,-11.433970231535271
3.800000000000002,-14.841864289965734
3.900000000000002,-17.810943924730985
