t,l
0,2
0.1,0.5067089541001375
0.2,-0.45848922172366985
0.30000000000000004,-1.0075127801271364
0.4,-1.2333888847055765
0.5,-1.2130613194252668
0.6,-1.0098134104130085
0.7,-0.6753560131563171
0.7999999999999999,-0.25162421990564443
0.8999999999999999,0.22767900945473513
0.9999999999999999,0.7357588823428842
1.0999999999999999,1.2515952747047785
1.2,1.7589741975672601
1.3,2.245661974600264
1.4000000000000001,2.7027027248000075
1.5000000000000002,3.123822242078018
1.6000000000000003,3.5049235523872193
1.7000000000000004,3.8436613460695384
1.8000000000000005,4.139084161068528
1.9000000000000006,4.391334660376566
2.0000000000000004,4.601399630044832
2.1000000000000005,4.770902444736175
2.2000000000000006,4.901931725949652
2.3000000000000007,4.996900771144539
2.400000000000001,5.058433075417642
2.500000000000001,5.089269914681726
2.600000000000001,5.0921965223747305
2.700000000000001,5.0699838810867215
2.800000000000001,5.025343575348012
2.9000000000000012,4.9608935202856745
3.0000000000000013,4.879132700050666
3.1000000000000014,4.782423326100096
3.2000000000000015,4.672979064079902
3.3000000000000016,4.5528581840090645
3.4000000000000017,4.423960665940823
3.5000000000000018,4.288028445969225
3.600000000000002,4.146648118601116
3.700000000000002,4.001255523959725
3.800000000000002,3.853141744505959
3.900000000000002,3.7034601181243674
